,Party,Sector,Year,CO2 emissions (kt)
0,Australia,Energy,1990,259089.0635
1,Australia,Energy,1991,261077.8943
2,Australia,Energy,1992,265636.3056
3,Australia,Energy,1993,269692.6933
4,Australia,Energy,1994,272493.5233
5,Australia,Energy,1995,283546.7993
6,Australia,Energy,1996,290186.9462
7,Australia,Energy,1997,298419.5558
8,Australia,Energy,1998,311658.248
9,Australia,Energy,1999,320154.8441
10,Australia,Energy,2000,326738.2134
11,Australia,Energy,2001,334467.4183
12,Australia,Energy,2002,338882.766
13,Australia,Energy,2003,344699.0513
14,Australia,Energy,2004,357307.1225
15,Australia,Energy,2005,362401.8422
16,Australia,Energy,2006,367646.6148
17,Australia,Energy,2007,374036.3856
18,Australia,Energy,2008,379435.628
19,Australia,Energy,2009,385300.8116
20,Australia,Energy,2010,380849.1894
21,Australia,Energy,2011,378049.0923
22,Australia,Energy,2012,383510.0745
23,Australia,Energy,2013,376234.9938
24,Australia,Energy,2014,372218.4051
25,Australia,Energy,2015,380865.8213
26,Australia,Energy,2016,391363.6067
27,Australia,Energy,Last Inventory Year (2017),394703.2223
28,Australia,Industrial Processes and Product Use,1990,18679.93852
29,Australia,Industrial Processes and Product Use,1991,18086.07298
30,Australia,Industrial Processes and Product Use,1992,18512.37518
31,Australia,Industrial Processes and Product Use,1993,18701.36968
32,Australia,Industrial Processes and Product Use,1994,20578.40919
33,Australia,Industrial Processes and Product Use,1995,20864.02577
34,Australia,Industrial Processes and Product Use,1996,21170.59425
35,Australia,Industrial Processes and Product Use,1997,21193.48616
36,Australia,Industrial Processes and Product Use,1998,21669.04928
37,Australia,Industrial Processes and Product Use,1999,22366.80985
38,Australia,Industrial Processes and Product Use,2000,21727.58414
39,Australia,Industrial Processes and Product Use,2001,21354.87564
40,Australia,Industrial Processes and Product Use,2002,21367.95842
41,Australia,Industrial Processes and Product Use,2003,23072.46281
42,Australia,Industrial Processes and Product Use,2004,23834.19379
43,Australia,Industrial Processes and Product Use,2005,22121.19372
44,Australia,Industrial Processes and Product Use,2006,23176.86321
45,Australia,Industrial Processes and Product Use,2007,24534.1887
46,Australia,Industrial Processes and Product Use,2008,23753.03382
47,Australia,Industrial Processes and Product Use,2009,21071.03041
48,Australia,Industrial Processes and Product Use,2010,23357.90836
49,Australia,Industrial Processes and Product Use,2011,23984.23966
50,Australia,Industrial Processes and Product Use,2012,21401.87749
51,Australia,Industrial Processes and Product Use,2013,19748.09695
52,Australia,Industrial Processes and Product Use,2014,18548.43184
53,Australia,Industrial Processes and Product Use,2015,19064.70544
54,Australia,Industrial Processes and Product Use,2016,19099.90924
55,Australia,Industrial Processes and Product Use,Last Inventory Year (2017),19445.57037
56,Australia,Agriculture,1990,582.0132094
57,Australia,Agriculture,1991,634.8961418
58,Australia,Agriculture,1992,689.811223
59,Australia,Agriculture,1993,767.0346106
60,Australia,Agriculture,1994,868.7848827
61,Australia,Agriculture,1995,919.3974065
62,Australia,Agriculture,1996,945.5527699
63,Australia,Agriculture,1997,1153.686321
64,Australia,Agriculture,1998,1328.724678
65,Australia,Agriculture,1999,1512.899648
66,Australia,Agriculture,2000,1701.121427
67,Australia,Agriculture,2001,1818.643351
68,Australia,Agriculture,2002,1930.4128
69,Australia,Agriculture,2003,1925.923746
70,Australia,Agriculture,2004,2035.070068
71,Australia,Agriculture,2005,1963.452358
72,Australia,Agriculture,2006,1829.691146
